input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
<s>             | Engelse         | 11.2458343506   <-> 11.1519107819   || 1
Engelse         | reporters       | 9.18172073364   <-> 9.25215435028   || 0
reporters       | merkten         | 8.81447410583   <-> 8.81519699097   || 0
merkten         | niet            | 3.52540445328   <-> 3.55781650543   || 0
niet            | zonder          | 6.61923360825   <-> 6.64183139801   || 0
zonder          | trots           | 7.87991046906   <-> 7.79988861084   || 1
trots           | op              | 2.94699597359   <-> 2.70212936401   || 1
op              | dat             | 3.53125905991   <-> 3.83291864395   || 0
dat             | de              | 2.23625850677   <-> 2.49744725227   || 0
de              | oude            | 6.49110031128   <-> 6.41071510315   || 1
oude            | Shakespeare     | 11.5078582764   <-> 10.5974254608   || 1
Shakespeare     | het             | 3.59138417244   <-> 3.93038463593   || 0
het             | weer            | 6.61240291595   <-> 6.28345966339   || 1
weer            | eens            | 4.88655757904   <-> 5.31651210785   || 0
eens            | bij             | 5.34338521957   <-> 4.89036512375   || 1
bij             | het             | 2.24946832657   <-> 2.24919104576   || 1
het             | rechte          | 6.61713504791   <-> 7.82466983795   || 0
rechte          | eind            | 7.28869533539   <-> 6.97803497314   || 1
eind            | had             | 4.37579727173   <-> 4.79391670227   || 0
had             | gehad           | 5.08349847794   <-> 4.62805175781   || 1
gehad           | </s>            | 0.145722106099  <-> 0.320108026266  || 0
<s>             | to              | 10.8609695435   <-> 10.805770874    || 1
to              | <UNK>           | 1.93676817417   <-> 1.2559196949    || 1
<UNK>           | or              | 7.63930559158   <-> 7.85223150253   || 0
or              | not             | 5.17628097534   <-> 4.60552167892   || 1
not             | to              | 3.74491167068   <-> 2.68808436394   || 1
to              | <UNK>           | 2.10322904587   <-> 2.37896871567   || 0
<UNK>           | that's          | 10.6977405548   <-> 10.8336114883   || 0
that's          | the             | 2.09254050255   <-> 2.34929132462   || 0
the             | <UNK>           | 1.16821920872   <-> 1.24759602547   || 0
<UNK>           | </s>            | 1.32465457916   <-> 1.82143175602   || 0
<s>             | om              | 6.29776287079   <-> 6.2150812149    || 1
om              | een             | 2.228079319     <-> 2.48311233521   || 0
een             | lang            | 8.30136394501   <-> 7.70961666107   || 1
lang            | verhaal         | 5.52031612396   <-> 5.29749011993   || 1
verhaal         | kort            | 11.3969764709   <-> 10.715007782    || 1
kort            | te              | 1.07275986671   <-> 1.05981779099   || 1
te              | maken           | 2.9063577652    <-> 2.52083992958   || 1
maken           | </s>            | 2.42754268646   <-> 2.69458341599   || 0
<s>             | <UNK>           | 2.9120028019    <-> 2.82138967514   || 1
<UNK>           | werd            | 4.65408802032   <-> 4.78045845032   || 0
werd            | geboren         | 5.84639787674   <-> 5.01338100433   || 1
geboren         | precies         | 9.91667175293   <-> 10.0635480881   || 0
precies         | één           | 7.51221370697   <-> 7.05230140686   || 1
één           | dag             | 5.89447116852   <-> 5.77198076248   || 1
dag             | nadat           | 4.84506368637   <-> 4.58380079269   || 1
nadat           | haar            | 5.1775431633    <-> 4.8933634758    || 1
haar            | vader           | 2.58437299728   <-> 3.33489727974   || 0
vader           | tweede          | 10.0143232346   <-> 9.27007579803   || 1
tweede          | was             | 2.44585847855   <-> 2.92931294441   || 0
was             | geworden        | 4.46318149567   <-> 6.69434499741   || 0
geworden        | in              | 3.24589848518   <-> 3.00696158409   || 1
in              | de              | 1.28468739986   <-> 1.21892273426   || 1
de              | US              | 7.12851905823   <-> 8.47215175629   || 0
US              | Open            | 0.345781415701  <-> 0.22445294261   || 1
Open            | </s>            | 1.11950325966   <-> 1.04614496231   || 1
<s>             | twee            | 5.7945227623    <-> 5.8323764801    || 0
twee            | weken           | 3.22462558746   <-> 3.31121349335   || 0
weken           | voor            | 5.62100458145   <-> 5.06307411194   || 1
voor            | de              | 1.29718160629   <-> 1.172524333     || 1
de              | dokters         | 10.103720665    <-> 10.379406929    || 0
dokters         | hadden          | 4.28209877014   <-> 4.5291557312    || 0
hadden          | voorspeld       | 10.1496601105   <-> 9.97291946411   || 1
voorspeld       | </s>            | 2.22275829315   <-> 1.91374230385   || 1
<s>             | u               | 8.08764839172   <-> 7.46542453766   || 1
u               | begrijpt        | 8.13349723816   <-> 6.64837884903   || 1
begrijpt        | heren           | 13.5138578415   <-> 14.2125806808   || 0
heren           | sprak           | 10.635222435    <-> 11.3140487671   || 0
sprak           | de              | 2.64439368248   <-> 2.52363872528   || 1
de              | trotse          | 9.11691856384   <-> 8.49719810486   || 1
trotse          | vader           | 4.91148471832   <-> 4.26807117462   || 1
vader           | tot             | 5.81770896912   <-> 6.32734966278   || 0
tot             | de              | 1.96371471882   <-> 1.92452681065   || 1
de              | verslaggevers   | 11.8659191132   <-> 10.9160699844   || 1
verslaggevers   | die             | 3.03505396843   <-> 3.0483379364    || 0
die             | hem             | 4.43625831604   <-> 4.318110466     || 1
hem             | tot             | 5.50092792511   <-> 5.2638220787    || 1
tot             | in              | 4.57176971436   <-> 4.4464764595    || 1
in              | het             | 2.04166316986   <-> 2.11047506332   || 0
het             | moederhuis      | 10.5323734283   <-> 11.3316936493   || 0
moederhuis      | waren           | 5.77012252808   <-> 4.36834859848   || 1
waren           | gevolgd         | 7.73785877228   <-> 7.58217144012   || 1
gevolgd         | dat             | 7.34497880936   <-> 6.65507555008   || 1
dat             | ik              | 4.15492343903   <-> 3.63992214203   || 1
ik              | in              | 2.8978729248    <-> 2.94487428665   || 0
in              | deze            | 4.75826644897   <-> 4.81292486191   || 0
deze            | omstandigheden  | 4.66297626495   <-> 4.89862585068   || 0
omstandigheden  | niet            | 3.23579120636   <-> 3.18427014351   || 1
niet            | veel            | 4.81257820129   <-> 5.50317382812   || 0
veel            | zin             | 7.1832780838    <-> 7.12927389145   || 1
zin             | had             | 1.6751793623    <-> 1.66997146606   || 1
had             | om              | 2.41321873665   <-> 3.07456803322   || 0
om              | een             | 2.55303144455   <-> 2.61770439148   || 0
een             | <UNK>           | 2.27392148972   <-> 2.15893983841   || 1
<UNK>           | af              | 5.1422290802    <-> 4.51746225357   || 1
af              | te              | 0.0762972608209 <-> 0.0713702365756 || 1
te              | dwingen         | 2.89678835869   <-> 3.58291649818   || 0
dwingen         | </s>            | 0.57468098402   <-> 0.472176015377  || 1
<s>             | een             | 3.56866502762   <-> 3.70763325691   || 0
een             | <UNK>           | 2.32764863968   <-> 2.13177728653   || 1
<UNK>           | in              | 3.058416605     <-> 3.29151558876   || 0
in              | de              | 1.24273431301   <-> 1.13362395763   || 1
de              | US              | 9.07545280457   <-> 8.59229373932   || 1
US              | Open            | 1.00194227695   <-> 0.231047570705  || 1
Open            | betekent        | 8.22702312469   <-> 7.46777439117   || 1
betekent        | een             | 2.86721372604   <-> 2.71469640732   || 1
een             | extra           | 6.70963668823   <-> 7.25764465332   || 0
extra           | rondje          | 10.2195444107   <-> 9.99171447754   || 1
rondje          | van             | 3.30832242966   <-> 3.35131978989   || 0
van             | achttien        | 6.87907314301   <-> 6.42867326736   || 1
achttien        | holes           | 10.8961801529   <-> 10.2510356903   || 1
holes           | op              | 4.14368247986   <-> 3.33311724663   || 1
op              | maandag         | 6.91175603867   <-> 6.6736907959    || 1
maandag         | </s>            | 0.795502245426  <-> 1.00791811943   || 0
<s>             | de              | 1.90497732162   <-> 1.79762613773   || 1
de              | eerste          | 3.82031726837   <-> 3.8190600872    || 1
eerste          | twee            | 4.95425844193   <-> 4.83279848099   || 1
twee            | majors          | 11.5802240372   <-> 11.9356641769   || 0
majors          | van             | 2.11945962906   <-> 2.64796233177   || 0
van             | het             | 2.29576992989   <-> 2.26710915565   || 1
het             | seizoen         | 5.21409606934   <-> 4.36202812195   || 1
seizoen         | hebben          | 3.49000024796   <-> 3.60487365723   || 0
hebben          | we              | 4.91417598724   <-> 3.98523187637   || 1
we              | dus             | 6.32672119141   <-> 6.25825452805   || 1
dus             | gehad           | 7.06976652145   <-> 7.52891731262   || 0
gehad           | </s>            | 0.978525876999  <-> 0.824055492878  || 1
<s>             | dit             | 4.93884468079   <-> 5.18152236938   || 0
dit             | weekend         | 3.94740986824   <-> 3.30072331429   || 1
weekend         | staat           | 5.38546657562   <-> 5.36507701874   || 1
staat           | de              | 1.84895348549   <-> 1.4580950737    || 1
de              | derde           | 6.36007118225   <-> 5.92749977112   || 1
derde           | van             | 3.12346458435   <-> 3.8952870369    || 0
van             | de              | 0.859379410744  <-> 0.818657279015  || 1
de              | vier            | 4.65848064423   <-> 4.4944319725    || 1
vier            | op              | 5.13882732391   <-> 5.36544513702   || 0
op              | het             | 2.71079158783   <-> 2.30087995529   || 1
het             | programma       | 3.62730813026   <-> 4.02907657623   || 0
programma       | </s>            | 1.51818430424   <-> 1.11225247383   || 1
<s>             | de              | 1.93990850449   <-> 1.96208226681   || 0
de              | British         | 11.4379587173   <-> 10.6145687103   || 1
British         | Open            | 1.69709968567   <-> 2.72041559219   || 0
Open            | </s>            | 4.27709388733   <-> 3.43443226814   || 1
<s>             | gespeeld        | 10.7521018982   <-> 11.5068359375   || 0
gespeeld        | op              | 2.69693183899   <-> 2.64282512665   || 1
op              | de              | 1.30755603313   <-> 1.37428605556   || 0
de              | authentieke     | 10.4943161011   <-> 10.1725673676   || 1
