input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
<UNK>           | in              | 2.70581150055   <-> 2.77439928055   || 0
in              | de              | 1.11528635025   <-> 1.13492012024   || 0
de              | Betty           | 13.4911022186   <-> 13.5726795197   || 0
Betty           | Ford            | 9.13181018829   <-> 10.2596244812   || 0
Ford            | kliniek         | 14.4539308548   <-> 15.0246706009   || 0
kliniek         | zwoer           | 13.6402711868   <-> 12.4111461639   || 1
zwoer           | de              | 2.16981863976   <-> 2.24773550034   || 0
de              | drank           | 10.1691265106   <-> 9.60601806641   || 1
drank           | af              | 4.9406375885    <-> 5.2618265152    || 0
af              | won             | 11.8972740173   <-> 11.6779327393   || 1
won             | de              | 2.17865395546   <-> 2.18705844879   || 0
de              | British         | 10.5639133453   <-> 11.0985069275   || 0
British         | Open            | 1.80732572079   <-> 2.98095202446   || 0
Open            | op              | 4.74164152145   <-> 5.33902931213   || 0
op              | de              | 1.48206663132   <-> 1.49729084969   || 0
de              | heilige         | 9.52017402649   <-> 8.53063583374   || 1
heilige         | Old             | 8.0012588501    <-> 8.98107624054   || 0
Old             | <UNK>           | 1.4171423912    <-> 1.26921415329   || 1
<UNK>           | van             | 2.63555240631   <-> 2.28981471062   || 1
van             | Saint           | 9.99474048615   <-> 9.50566005707   || 1
Saint           | Andrews         | 9.53741455078   <-> 10.0541095734   || 0
Andrews         | raakte          | 10.9440975189   <-> 9.34482288361   || 1
raakte          | weer            | 6.61785078049   <-> 6.43105983734   || 1
weer            | aan             | 4.15177774429   <-> 4.03607463837   || 1
aan             | de              | 0.844451069832  <-> 1.01407432556   || 0
de              | drank           | 8.94850730896   <-> 8.43816184998   || 1
drank           | gaf             | 8.17841625214   <-> 9.93477630615   || 0
gaf             | zijn            | 5.22337579727   <-> 4.10295963287   || 1
zijn            | tweede          | 5.87469816208   <-> 5.52530384064   || 1
tweede          | vrouw           | 4.82013225555   <-> 4.94860076904   || 0
vrouw           | een             | 3.2181224823    <-> 3.68047904968   || 0
een             | ongelukkige     | 8.12591266632   <-> 8.54701709747   || 0
ongelukkige     | slag            | 6.92391633987   <-> 7.70108795166   || 0
slag            | enzovoort       | 11.3296451569   <-> 10.8294458389   || 1
enzovoort       | enzovoort       | 10.7854919434   <-> 10.4849023819   || 1
enzovoort       | </s>            | 0.149049535394  <-> 0.276524245739  || 0
<s>             | dat             | 3.78410983086   <-> 3.78501629829   || 0
dat             | alles           | 6.29387283325   <-> 6.86974000931   || 0
alles           | was             | 3.13703370094   <-> 3.22998285294   || 0
was             | niets           | 6.27043914795   <-> 6.21059036255   || 1
niets           | vergeleken      | 9.2691116333    <-> 8.55577468872   || 1
vergeleken      | bij             | 5.29893302917   <-> 4.78898334503   || 1
bij             | wat             | 5.38061857224   <-> 5.65201663971   || 0
wat             | hem             | 5.44582033157   <-> 5.44446849823   || 1
hem             | overkwam        | 8.83376312256   <-> 9.35527229309   || 0
overkwam        | in              | 4.09555339813   <-> 3.69025826454   || 1
in              | de              | 1.1817510128    <-> 1.17422044277   || 1
de              | slotronde       | 9.03633499146   <-> 8.84571266174   || 1
slotronde       | van             | 2.25060009956   <-> 2.55415439606   || 0
van             | de              | 1.26949357986   <-> 1.3481887579    || 0
de              | US              | 7.48763465881   <-> 7.21048688889   || 1
US              | Open            | 0.60663664341   <-> 0.16072294116   || 1
Open            | op              | 5.40588998795   <-> 5.8679265976    || 0
op              | de              | 1.4642021656    <-> 1.32470929623   || 1
de              | achtste         | 6.37488555908   <-> 6.59504508972   || 0
achtste         | hole            | 10.1441068649   <-> 9.12393379211   || 1
hole            | van             | 1.78401648998   <-> 2.25936198235   || 0
van             | <UNK>           | 2.79086351395   <-> 2.88039088249   || 0
<UNK>           | </s>            | 0.513204932213  <-> 0.607115864754  || 0
<s>             | voor            | 4.63303756714   <-> 4.7514834404    || 0
voor            | </s>            | 8.58694076538   <-> 6.94281196594   || 1
<s>             | <UNK>           | 3.03640079498   <-> 2.88345003128   || 1
<UNK>           | meteen          | 8.88397026062   <-> 8.89934635162   || 0
meteen          | omgedoopt       | 10.9467411041   <-> 10.9869117737   || 0
omgedoopt       | tot             | 0.730029284954  <-> 0.411207258701  || 1
tot             | <UNK>           | 2.62861967087   <-> 2.39394927025   || 1
<UNK>           | </s>            | 1.02068674564   <-> 1.72883367538   || 0
<s>             | gelukkig        | 7.06738090515   <-> 7.78049755096   || 0
gelukkig        | ligt            | 5.9974155426    <-> 5.64443635941   || 1
ligt            | die             | 5.42266273499   <-> 5.78801012039   || 0
die             | achtste         | 8.53472805023   <-> 9.08839416504   || 0
achtste         | nogal           | 9.75329399109   <-> 9.99552345276   || 0
nogal           | ver             | 4.66055965424   <-> 4.53064823151   || 1
ver             | van             | 1.99029529095   <-> 2.07076501846   || 0
van             | het             | 2.17871141434   <-> 1.81633365154   || 1
het             | <UNK>           | 1.82509684563   <-> 2.0998506546    || 0
<UNK>           | of              | 5.52969741821   <-> 5.48066568375   || 1
of              | <UNK>           | 2.35166049004   <-> 2.49565076828   || 0
<UNK>           | had             | 8.08561229706   <-> 6.7136592865    || 1
had             | zijn            | 4.74965667725   <-> 4.55791282654   || 1
zijn            | clubs           | 9.70013046265   <-> 10.1471385956   || 0
clubs           | weggegooid      | 10.7415771484   <-> 10.4331922531   || 1
