input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
in              | de              | 1.20163428783   <-> 1.20796501637   || 0
de              | alcohol         | 11.179391861    <-> 12.1558036804   || 0
alcohol         | gestort         | 9.17413520813   <-> 7.92436790466   || 1
gestort         | </s>            | 0.469201505184  <-> 0.246144175529  || 1
<s>             | dat             | 3.70544958115   <-> 3.88452243805   || 0
dat             | had             | 4.63870859146   <-> 4.90071868896   || 0
had             | hij             | 3.35797905922   <-> 3.4544467926    || 0
hij             | twee            | 6.03601646423   <-> 6.29594039917   || 0
twee            | jaar            | 2.85258340836   <-> 1.91747045517   || 1
jaar            | eerder          | 5.08613109589   <-> 4.3439078331    || 1
eerder          | al              | 4.41665267944   <-> 3.33903312683   || 1
al              | eens            | 4.56355571747   <-> 4.1841711998    || 1
eens            | gedaan          | 5.97068786621   <-> 4.80063915253   || 1
gedaan          | op              | 3.57027339935   <-> 3.45281624794   || 1
op              | de              | 1.12710571289   <-> 1.11041927338   || 1
de              | US              | 8.02199363708   <-> 7.09746456146   || 1
US              | Open            | 0.817067027092  <-> 0.350318878889  || 1
Open            | toen            | 6.73335838318   <-> 5.74639701843   || 1
toen            | hij             | 1.92379558086   <-> 2.21145629883   || 0
hij             | na              | 4.61553049088   <-> 4.60616016388   || 1
na              | negen           | 5.86629295349   <-> 5.8731470108    || 0
negen           | holes           | 13.4006576538   <-> 12.3656463623   || 1
holes           | in              | 2.73609089851   <-> 2.79927015305   || 0
in              | de              | 1.19641244411   <-> 1.44231593609   || 0
de              | slotronde       | 9.38925743103   <-> 8.0811958313    || 1
slotronde       | het             | 5.64243364334   <-> 5.45829105377   || 1
het             | plotseling      | 12.2497739792   <-> 10.5069179535   || 1
plotseling      | op              | 3.59473252296   <-> 3.23603200912   || 1
op              | zijn            | 3.44123911858   <-> 3.7184855938    || 0
zijn            | heupen          | 8.05234146118   <-> 7.46268463135   || 1
heupen          | kreeg           | 4.99508619308   <-> 4.52146577835   || 1
kreeg           | tussen          | 7.45059394836   <-> 8.41572380066   || 0
tussen          | de              | 1.25514781475   <-> 1.27085351944   || 0
de              | toeschouwers    | 8.12576675415   <-> 8.51615524292   || 0
toeschouwers    | stapte          | 10.6770544052   <-> 9.69143867493   || 1
stapte          | en              | 4.13554525375   <-> 2.99391198158   || 1
en              | verdween        | 8.84370613098   <-> 7.52760410309   || 1
verdween        | </s>            | 2.45008111      <-> 2.59762048721   || 0
<s>             | zonder          | 7.13260555267   <-> 7.39384889603   || 0
zonder          | zijn            | 4.36504364014   <-> 4.02675008774   || 1
zijn            | <UNK>           | 2.29590773582   <-> 2.35862803459   || 0
<UNK>           | of              | 6.20846939087   <-> 6.17774581909   || 1
of              | <UNK>           | 2.06059241295   <-> 1.95693707466   || 1
<UNK>           | te              | 5.96111249924   <-> 4.69610643387   || 1
te              | verwittigen     | 9.00835704803   <-> 8.43837356567   || 1
verwittigen     | </s>            | 2.41467428207   <-> 1.71516895294   || 1
<s>             | dit             | 5.5494222641    <-> 5.61976194382   || 0
dit             | jaar            | 2.16524124146   <-> 2.54640436172   || 0
jaar            | was             | 2.79470610619   <-> 2.38813638687   || 1
was             | <UNK>           | 3.63710641861   <-> 4.14042663574   || 0
<UNK>           | het             | 4.06024217606   <-> 3.36621260643   || 1
het             | toernooi        | 8.23644447327   <-> 9.4616394043    || 0
toernooi        | nochtans        | 8.56636619568   <-> 8.38395690918   || 1
nochtans        | schitterend     | 8.45496749878   <-> 8.90634250641   || 0
schitterend     | begonnen        | 7.94140768051   <-> 6.75879001617   || 1
begonnen        | met             | 2.83849453926   <-> 2.9427857399    || 0
met             | een             | 1.95400249958   <-> 1.90242099762   || 1
een             | eerste          | 5.42828273773   <-> 5.43475151062   || 0
eerste          | rondje          | 9.92756557465   <-> 9.66013908386   || 1
rondje          | van             | 3.35958623886   <-> 3.00939035416   || 1
van             | acht-en         | 6.01787948608   <-> 5.98291683197   || 1
acht-en         | zestig          | 2.63707613945   <-> 2.59283542633   || 1
zestig          | komma           | 2.1718890667    <-> 1.46818470955   || 1
komma           | dat             | 7.54827976227   <-> 7.88718223572   || 0
dat             | hem             | 6.94530773163   <-> 7.67666769028   || 0
hem             | op              | 3.30670285225   <-> 3.29011082649   || 1
op              | een             | 2.40161561966   <-> 2.36937665939   || 1
een             | gedeelde        | 8.30743408203   <-> 7.44395208359   || 1
gedeelde        | tweede          | 5.43422031403   <-> 5.26741886139   || 1
tweede          | plaats          | 2.0308740139    <-> 2.22481417656   || 0
plaats          | zette           | 6.96418142319   <-> 6.50735092163   || 1
zette           | </s>            | 0.796964049339  <-> 0.316989898682  || 1
<s>             | maar            | 3.76087236404   <-> 3.85992145538   || 0
maar            | de              | 2.14035844803   <-> 1.84593355656   || 1
de              | duivel          | 9.02611160278   <-> 9.56439304352   || 0
duivel          | in              | 3.59806060791   <-> 3.48107933998   || 1
in              | <UNK>           | 3.1387348175    <-> 3.14038658142   || 0
<UNK>           | won             | 6.14194631577   <-> 5.30498790741   || 1
won             | het             | 3.156686306     <-> 3.356508255     || 0
het             | alweer          | 8.36387062073   <-> 7.66455745697   || 1
alweer          | van             | 3.59490799904   <-> 3.64600849152   || 0
van             | de              | 1.32003092766   <-> 1.22273981571   || 1
de              | <UNK>           | 1.98868763447   <-> 2.16160535812   || 0
<UNK>           | </s>            | 1.33872210979   <-> 0.964208722115  || 1
<s>             | de              | 2.00110268593   <-> 1.70443046093   || 1
de              | gevolgen        | 8.20273303986   <-> 8.89824485779   || 0
gevolgen        | vallen          | 9.52041435242   <-> 9.09222984314   || 1
vallen          | te              | 5.16244792938   <-> 5.62007141113   || 0
te              | vrezen          | 6.37964439392   <-> 5.16465616226   || 1
vrezen          | </s>            | 1.68658804893   <-> 1.42272722721   || 1
<s>             | <UNK>           | 3.1323928833    <-> 3.39095401764   || 0
<UNK>           | is              | 2.98159265518   <-> 2.92183232307   || 1
is              | een             | 2.20568203926   <-> 2.31078314781   || 0
een             | van             | 4.12040758133   <-> 2.99082040787   || 1
van             | de              | 0.998846650124  <-> 0.57575160265   || 1
de              | mensen          | 5.94794940948   <-> 5.94513988495   || 1
mensen          | die             | 2.30047369003   <-> 1.19961965084   || 1
die             | als             | 4.98390102386   <-> 5.06656312943   || 0
als             | hen             | 7.39212036133   <-> 7.73858165741   || 0
hen             | naar            | 5.28978729248   <-> 4.74322795868   || 1
naar            | hun             | 4.35319137573   <-> 2.33222961426   || 1
hun             | favoriete       | 6.40983724594   <-> 6.48809146881   || 0
favoriete       | drankje         | 11.2686653137   <-> 11.8889055252   || 0
drankje         | gevraagd        | 9.61144542694   <-> 8.57109069824   || 1
gevraagd        | wordt           | 4.22883987427   <-> 4.64657735825   || 0
wordt           | antwoorden      | 11.578625679    <-> 11.8853034973   || 0
antwoorden      | </s>            | 0.862090110779  <-> 0.717596650124  || 1
<s>             | het             | 2.82423329353   <-> 2.65709543228   || 1
het             | volgende        | 7.91867923737   <-> 7.99965333939   || 0
volgende        | </s>            | 7.02268981934   <-> 8.190076828     || 0
<s>             | de              | 2.04708909988   <-> 1.98447704315   || 1
de              | </s>            | 10.555352211    <-> 10.2576313019   || 1
<s>             | Amerikaan       | 11.3875141144   <-> 12.7213573456   || 0
Amerikaan       | <UNK>           | 2.37804865837   <-> 2.15564513206   || 1
<UNK>           | <UNK>           | 2.1738615036    <-> 1.67557966709   || 1
<UNK>           | altijd          | 8.79429912567   <-> 9.21899700165   || 0
altijd          | goed            | 5.73781204224   <-> 6.41391801834   || 0
goed            | voor            | 2.47411203384   <-> 2.19234752655   || 1
voor            | een             | 2.28314471245   <-> 2.54251813889   || 0
een             | sterke          | 6.21256542206   <-> 6.23719358444   || 0
sterke          | quote           | 12.0699768066   <-> 10.7142801285   || 1
quote           | kreeg           | 8.45156669617   <-> 9.69414520264   || 0
kreeg           | na              | 5.91745424271   <-> 6.24577713013   || 0
na              | een             | 1.7756062746    <-> 1.61740708351   || 1
een             | <UNK>           | 1.92881143093   <-> 2.70531105995   || 0
<UNK>           | in              | 2.80795526505   <-> 3.18350887299   || 0
in              | de              | 1.27075242996   <-> 1.13105249405   || 1
de              | US              | 8.72334098816   <-> 7.79920482635   || 1
US              | <UNK>           | 1.52885985374   <-> 2.0379524231    || 0
<UNK>           | een             | 3.40422534943   <-> 2.01812434196   || 1
een             | microfoon       | 9.71475982666   <-> 10.0100946426   || 0
microfoon       | onder           | 6.02407836914   <-> 5.64077425003   || 1
onder           | de              | 1.48754501343   <-> 1.61472809315   || 0
de              | neus            | 6.076628685     <-> 4.47021913528   || 1
neus            | geduwd          | 10.649936676    <-> 7.84617853165   || 1
geduwd          | en              | 2.07557988167   <-> 2.75167560577   || 0
en              | verwoordde      | 12.3588886261   <-> 12.4489784241   || 0
verwoordde      | het             | 2.68374752998   <-> 2.5437939167    || 1
het             | gevoel          | 5.59529399872   <-> 6.18777990341   || 0
gevoel          | dat             | 1.29776895046   <-> 0.952955722809  || 1
dat             | vele            | 8.52204799652   <-> 7.84551668167   || 1
vele            | <UNK>           | 2.18052053452   <-> 2.2093129158    || 0
<UNK>           | kennen          | 9.08352565765   <-> 9.46864414215   || 0
kennen          | </s>            | 1.16508376598   <-> 1.04044806957   || 1
<s>             | voor            | 4.57810688019   <-> 5.13647842407   || 0
voor            | spelers         | 9.67027854919   <-> 10.0834684372   || 0
spelers         | als             | 4.85150051117   <-> 4.22070598602   || 1
als             | ik              | 3.94577336311   <-> 4.10639858246   || 0
ik              | lijkt           | 9.25145149231   <-> 7.94878578186   || 1
