input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
zijn            | debuut          | 8.21319675446   <-> 7.77763557434   || 1
debuut          | op              | 3.09901547432   <-> 3.41973042488   || 0
op              | Belgische       | 8.90779304504   <-> 8.91251945496   || 0
Belgische       | bodem           | 4.95081043243   <-> 2.9824385643    || 1
bodem           | </s>            | 0.870736300945  <-> 1.25608301163   || 0
<s>             | de              | 1.8083460331    <-> 1.9328546524    || 0
de              | man             | 5.20024204254   <-> 5.46953201294   || 0
man             | maakte          | 5.64179182053   <-> 6.01093292236   || 0
maakte          | gezwind         | 12.0912885666   <-> 12.0244665146   || 1
gezwind         | de              | 3.04636049271   <-> 2.71976590157   || 1
de              | overstap        | 8.97132492065   <-> 8.60234451294   || 1
overstap        | van             | 1.2608319521    <-> 1.02875876427   || 1
van             | disco           | 11.6025238037   <-> 11.6551399231   || 0
disco           | naar            | 4.54526901245   <-> 4.6878247261    || 0
naar            | house           | 10.2314243317   <-> 10.6040668488   || 0
house           | en              | 1.40657103062   <-> 1.10719716549   || 1
en              | zag             | 8.52093505859   <-> 8.54566478729   || 0
zag             | zeer            | 7.99699306488   <-> 7.36762714386   || 1
zeer            | vroeg           | 7.81023693085   <-> 7.96605730057   || 0
vroeg           | het             | 3.95890283585   <-> 3.98676109314   || 0
het             | nut             | 8.49924087524   <-> 7.34954071045   || 1
nut             | van             | 0.604116201401  <-> 0.311929553747  || 1
van             | remixen         | 12.7930984497   <-> 13.679646492    || 0
remixen         | in              | 3.00520920753   <-> 2.94473624229   || 1
in              | </s>            | 2.84640240669   <-> 4.86215209961   || 0
<s>             | <UNK>           | 2.82487440109   <-> 3.02765703201   || 0
<UNK>           | werkte          | 7.25067329407   <-> 7.33371734619   || 0
werkte          | zowel           | 7.19038295746   <-> 6.98805713654   || 1
zowel           | met             | 4.00007247925   <-> 3.45943808556   || 1
met             | Kraftwerk       | 12.4596920013   <-> 12.2966384888   || 1
Kraftwerk       | als             | 4.64182376862   <-> 3.98926639557   || 1
als             | met             | 5.83674430847   <-> 5.36731624603   || 1
met             | Diana           | 10.7833070755   <-> 10.754447937    || 1
Diana           | Ross            | 10.1686172485   <-> 9.40607643127   || 1
Ross            | en              | 3.12833309174   <-> 2.35318350792   || 1
en              | wordt           | 7.02162027359   <-> 6.95603561401   || 1
wordt           | tot             | 5.94550848007   <-> 6.20629310608   || 0
tot             | de              | 2.21008062363   <-> 1.9855287075    || 1
de              | beste           | 5.61776065826   <-> 4.79795455933   || 1
beste           | dj's            | 9.93999767303   <-> 10.3270483017   || 0
dj's            | aller           | 7.72077512741   <-> 8.10031890869   || 0
aller           | tijden          | 2.48683023453   <-> 0.206235527992  || 1
tijden          | gerekend        | 8.85667133331   <-> 8.30510902405   || 1
gerekend        | </s>            | 0.49937492609   <-> 0.523038446903  || 0
<s>             | mooi            | 8.62407207489   <-> 8.40997028351   || 1
mooi            | <UNK>           | 2.15040373802   <-> 3.22517156601   || 0
<UNK>           | </s>            | 2.66013383865   <-> 2.38239812851   || 1
<s>             | een             | 3.18470668793   <-> 3.38319063187   || 0
een             | hogedrukgebied  | 8.92953968048   <-> 8.29280567169   || 1
hogedrukgebied  | neemt           | 7.70805120468   <-> 7.5584821701    || 1
neemt           | het             | 3.06168341637   <-> 2.97269654274   || 1
het             | heft            | 8.53014755249   <-> 7.27044820786   || 1
heft            | in              | 2.52692556381   <-> 2.16249465942   || 1
in              | handen          | 5.81828594208   <-> 5.06179714203   || 1
handen          | en              | 2.94323825836   <-> 2.54012012482   || 1
en              | bezorgt         | 10.6155090332   <-> 10.4751930237   || 1
bezorgt         | West-Europa     | 12.5408325195   <-> 12.1643457413   || 1
West-Europa     | een             | 2.67988944054   <-> 2.82777643204   || 0
een             | rustige         | 7.92151260376   <-> 7.82552194595   || 1
rustige         | en              | 5.33427047729   <-> 5.39362096786   || 0
en              | mooie           | 6.68184757233   <-> 6.55294275284   || 1
mooie           | periode         | 6.33042621613   <-> 6.39961576462   || 0
periode         | </s>            | 1.54010820389   <-> 1.47123801708   || 1
<s>             | onder           | 6.45342636108   <-> 6.54633235931   || 0
onder           | aanvoer         | 12.264550209    <-> 13.1127653122   || 0
aanvoer         | van             | 0.576046288013  <-> 0.297981500626  || 1
van             | een             | 2.52156996727   <-> 2.71589899063   || 0
een             | zuidelijke      | 9.88446998596   <-> 9.6794500351    || 1
zuidelijke      | stroming        | 6.84764051437   <-> 5.49405527115   || 1
stroming        | is              | 2.67008209229   <-> 3.02903866768   || 0
is              | de              | 1.65829312801   <-> 1.63633620739   || 1
de              | zon             | 4.73287630081   <-> 6.08422899246   || 0
zon             | van             | 3.64918136597   <-> 3.00387048721   || 1
van             | de              | 1.29910731316   <-> 1.21819329262   || 1
de              | partij          | 8.03689002991   <-> 7.47259807587   || 1
partij          | en              | 2.88854408264   <-> 3.29594397545   || 0
en              | komt            | 6.60259532928   <-> 7.08052778244   || 0
komt            | de              | 2.71793651581   <-> 2.63240599632   || 1
de              | twintig         | 7.72622013092   <-> 7.84799861908   || 0
twintig         | <UNK>           | 3.08138084412   <-> 3.07632756233   || 1
<UNK>           | binnen          | 6.14383029938   <-> 5.98017168045   || 1
binnen          | handbereik      | 8.13958263397   <-> 7.6902551651    || 1
handbereik      | </s>            | 0.602181971073  <-> 0.416232258081  || 1
<s>             | krijgen         | 9.90458011627   <-> 10.8345050812   || 0
krijgen         | we              | 2.60670018196   <-> 2.7887160778    || 0
we              | een             | 2.52760004997   <-> 2.25344944      || 1
een             | onvervalste     | 9.69700717926   <-> 8.89496326447   || 1
onvervalste     | mooie           | 7.48132991791   <-> 7.36711645126   || 1
mooie           | <UNK>           | 1.84602475166   <-> 1.77327883244   || 1
<UNK>           | </s>            | 1.37075996399   <-> 1.14713394642   || 1
<s>             | de              | 2.05505800247   <-> 1.87148427963   || 1
de              | atmosfeer       | 7.99575471878   <-> 7.99724388123   || 0
atmosfeer       | gaat            | 4.80307579041   <-> 5.06029272079   || 0
gaat            | enkele          | 7.28285360336   <-> 6.97505664825   || 1
enkele          | dagen           | 3.29885172844   <-> 2.62313222885   || 1
dagen           | de              | 4.34062576294   <-> 5.08876848221   || 0
de              | rustige         | 9.68736457825   <-> 9.25511932373   || 1
rustige         | toer            | 7.87615060806   <-> 7.17866659164   || 1
toer            | op              | 2.44285941124   <-> 1.6744582653    || 1
op              | </s>            | 1.53279066086   <-> 1.53924882412   || 0
<s>             | de              | 2.03852963448   <-> 1.8384475708    || 1
de              | dag             | 6.0792131424    <-> 5.85773086548   || 1
dag             | begint          | 5.92450761795   <-> 4.95202732086   || 1
begint          | met             | 3.54364013672   <-> 2.51355457306   || 1
met             | wat             | 5.57991504669   <-> 5.56537055969   || 1
wat             | nevel           | 7.51940727234   <-> 6.16010284424   || 1
nevel           | of              | 3.41451597214   <-> 3.3927154541    || 1
of              | verspreid       | 9.54150390625   <-> 9.42321109772   || 1
verspreid       | enkele          | 9.3579750061    <-> 7.6672167778    || 1
enkele          | mistbanken      | 5.46821498871   <-> 5.00958538055   || 1
mistbanken      | die             | 4.63948440552   <-> 4.35124874115   || 1
die             | op              | 4.01272439957   <-> 3.89640188217   || 1
op              | de              | 1.4246070385    <-> 1.25849092007   || 1
de              | weg             | 5.28190279007   <-> 4.91717147827   || 1
weg             | verraderlijk    | 14.6963233948   <-> 14.2798633575   || 1
verraderlijk    | uit             | 6.31554222107   <-> 5.91070461273   || 1
uit             | de              | 1.28304076195   <-> 1.16140890121   || 1
de              | hoek            | 6.13686466217   <-> 4.58605718613   || 1
hoek            | kunnen          | 3.75145578384   <-> 4.23637676239   || 0
kunnen          | komen           | 3.44973611832   <-> 2.14502906799   || 1
komen           | </s>            | 0.421729207039  <-> 0.278529495001  || 1
<s>             | al              | 5.70101928711   <-> 5.75316619873   || 0
al              | vrij            | 7.89137172699   <-> 7.24205780029   || 1
vrij            | snel            | 5.04371500015   <-> 5.06736803055   || 0
snel            | maakt           | 7.0382232666    <-> 6.21787118912   || 1
maakt           | de              | 1.66789233685   <-> 1.44886171818   || 1
de              | zon             | 3.99326705933   <-> 4.08231973648   || 0
zon             | op              | 3.69188022614   <-> 3.62690210342   || 1
op              | deze            | 5.61517620087   <-> 4.83566856384   || 1
deze            | laatste         | 6.2585144043    <-> 6.02229070663   || 1
laatste         | dag             | 3.63301181793   <-> 2.22205257416   || 1
dag             | van             | 3.63857007027   <-> 3.7438249588    || 0
van             | september       | 8.44616317749   <-> 10.052488327    || 0
september       | er              | 6.52909517288   <-> 5.83747148514   || 1
er              | werk            | 8.14792633057   <-> 7.82883739471   || 1
werk            | van             | 2.33041858673   <-> 2.22082138062   || 1
van             | om              | 5.03601264954   <-> 4.59403753281   || 1
om              | het             | 2.65264415741   <-> 2.33976244926   || 1
het             | ochtendgrijs    | 8.08729553223   <-> 7.6986374855    || 1
ochtendgrijs    | op              | 2.78772187233   <-> 2.97774267197   || 0
op              | te              | 0.979498744011  <-> 0.837333083153  || 1
te              | lossen          | 3.89739060402   <-> 2.7113134861    || 1
lossen          | en              | 2.62822008133   <-> 2.77656245232   || 0
en              | dan             | 4.20548629761   <-> 4.55262088776   || 0
dan             | heeft           | 5.79106712341   <-> 5.77215194702   || 1
heeft           | ze              | 2.97489333153   <-> 3.47843813896   || 0
ze              | het             | 3.15996146202   <-> 2.98867607117   || 1
het             | firmament       | 11.8277931213   <-> 12.3673744202   || 0
firmament       | helemaal        | 6.44277143478   <-> 6.79863834381   || 0
helemaal        | voor            | 4.26609373093   <-> 4.27287197113   || 0
