input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
en              | dat             | 2.87408471107   <-> 2.84008646011   || 1
dat             | is              | 1.82655930519   <-> 1.663646698     || 1
is              | in              | 3.85210323334   <-> 3.92481327057   || 0
in              | golf            | 12.3708496094   <-> 12.902173996    || 0
golf            | een             | 4.63177061081   <-> 4.52490091324   || 1
een             | fatale          | 9.56700992584   <-> 9.73405647278   || 0
fatale          | handicap        | 7.79643535614   <-> 8.38574314117   || 0
handicap        | aangezien       | 9.82438278198   <-> 9.47356987      || 1
aangezien       | één           | 7.48195934296   <-> 7.93262958527   || 0
één           | rondje          | 11.5680971146   <-> 11.578130722    || 0
rondje          | van             | 3.84357595444   <-> 4.72823143005   || 0
van             | achttien        | 7.00368738174   <-> 7.74240112305   || 0
achttien        | holes           | 12.8574590683   <-> 10.4697408676   || 1
holes           | makkelijk       | 10.3047142029   <-> 9.22496700287   || 1
makkelijk       | zeven           | 8.8553647995    <-> 7.89633369446   || 1
zeven           | kilometer       | 4.21092653275   <-> 4.86101484299   || 0
kilometer       | bedraagt        | 7.60011720657   <-> 8.14923667908   || 0
bedraagt        | en              | 3.16815185547   <-> 2.54650139809   || 1
en              | een             | 3.03854513168   <-> 2.95280456543   || 1
een             | toernooi        | 10.8307285309   <-> 10.8097200394   || 1
toernooi        | vier            | 7.50992298126   <-> 7.29245710373   || 1
vier            | rondjes         | 10.6407260895   <-> 10.0347824097   || 1
rondjes         | van             | 3.91817951202   <-> 2.64895009995   || 1
van             | achttien        | 6.57913303375   <-> 6.4756436348    || 1
achttien        | holes           | 12.7465114594   <-> 10.5901756287   || 1
holes           | </s>            | 1.63304495811   <-> 0.903606116772  || 1
<s>             | tenzij          | 9.53739738464   <-> 8.76195049286   || 1
tenzij          | je              | 3.23516225815   <-> 3.12164783478   || 1
je              | zoals           | 7.52048873901   <-> 7.87890481949   || 0
zoals           | Nick            | 10.2033481598   <-> 10.6513309479   || 0
Nick            | <UNK>           | 1.36875653267   <-> 1.47134685516   || 0
<UNK>           | de              | 2.72600412369   <-> 2.72268128395   || 1
de              | cut             | 12.4476604462   <-> 12.0999336243   || 1
cut             | niet            | 4.9752702713    <-> 5.3805141449    || 0
niet            | meer            | 3.5691318512    <-> 3.27787089348   || 1
meer            | overleeft       | 9.84622764587   <-> 8.94370746613   || 1
overleeft       | </s>            | 1.77189326286   <-> 1.05063426495   || 1
<s>             | <UNK>           | 3.02815723419   <-> 3.21614193916   || 0
<UNK>           | kreeg           | 6.26706552505   <-> 6.05788612366   || 1
kreeg           | van             | 4.89323139191   <-> 4.6923494339    || 1
van             | de              | 1.23630857468   <-> 1.41100561619   || 0
de              | Royal           | 8.48195075989   <-> 8.70692443848   || 0
Royal           | and             | 9.14627170563   <-> 7.52571344376   || 1
and             | <UNK>           | 1.00547063351   <-> 0.99131667614   || 1
<UNK>           | de              | 2.84650087357   <-> 2.71806263924   || 1
de              | hoogste         | 7.11290931702   <-> 6.88576221466   || 1
hoogste         | <UNK>           | 1.61399185658   <-> 2.0943210125    || 0
<UNK>           | die             | 3.36067914963   <-> 3.71361923218   || 0
die             | huist           | 12.2577238083   <-> 11.763753891    || 1
huist           | in              | 2.28136444092   <-> 2.19281339645   || 1
in              | het             | 2.12585139275   <-> 2.0127518177    || 1
het             | Schotse         | 7.91819763184   <-> 7.55534648895   || 1
Schotse         | <UNK>           | 1.32601594925   <-> 1.43971514702   || 0
<UNK>           | geen            | 8.05988883972   <-> 8.7449131012    || 0
geen            | toestemming     | 8.42955780029   <-> 8.65993690491   || 0
toestemming     | om              | 2.83463764191   <-> 2.68808031082   || 1
om              | zich            | 4.27716398239   <-> 4.36817121506   || 0
zich            | met             | 3.67360067368   <-> 3.7733733654    || 0
met             | een             | 1.74010384083   <-> 1.90101897717   || 0
een             | karretje        | 11.2865428925   <-> 10.7902393341   || 1
karretje        | door            | 4.92384243011   <-> 5.66642093658   || 0
door            | de              | 1.63564407825   <-> 1.63032972813   || 1
de              | toernooien      | 12.6028862      <-> 12.1514873505   || 1
toernooien      | van             | 2.32933521271   <-> 2.64722514153   || 0
van             | de              | 1.04829752445   <-> 1.12275326252   || 0
de              | Europese        | 5.82099294662   <-> 5.21699857712   || 1
Europese        | <UNK>           | 1.921017766     <-> 2.20290851593   || 0
<UNK>           | te              | 1.67819845676   <-> 0.701230287552  || 1
te              | verplaatsen     | 6.81029367447   <-> 6.31054592133   || 1
verplaatsen     | </s>            | 0.300492346287  <-> 0.150723412633  || 1
<s>             | wat             | 5.71319103241   <-> 5.29974555969   || 1
wat             | hij             | 3.63964438438   <-> 4.1565694809    || 0
hij             | wel             | 5.51980495453   <-> 5.14991855621   || 1
wel             | kreeg           | 6.51576519012   <-> 6.45571899414   || 1
kreeg           | was             | 3.43510293961   <-> 4.76638507843   || 0
was             | een             | 2.22494029999   <-> 2.74892687798   || 0
een             | aanval          | 8.56018924713   <-> 7.65026283264   || 1
aanval          | van             | 2.39128756523   <-> 2.70706319809   || 0
van             | artritis        | 12.9600992203   <-> 12.7077732086   || 1
artritis        | een             | 4.28375530243   <-> 5.08353805542   || 0
een             | aanzet          | 9.23271751404   <-> 9.71089076996   || 0
aanzet          | tot             | 3.50319051743   <-> 1.5152182579    || 1
tot             | <UNK>           | 2.461830616     <-> 3.02733016014   || 0
<UNK>           | een             | 4.48643398285   <-> 4.6941857338    || 0
een             | depressie       | 9.00370979309   <-> 8.72968101501   || 1
depressie       | en              | 2.62071657181   <-> 2.63773393631   || 0
en              | een             | 2.38599491119   <-> 2.71013903618   || 0
een             | plaatsje        | 7.63789892197   <-> 7.99842834473   || 0
plaatsje        | in              | 2.28542518616   <-> 2.18496179581   || 1
in              | de              | 1.1620759964    <-> 1.29704523087   || 0
de              | grauwe          | 10.2060174942   <-> 9.6639881134    || 1
grauwe          | middenmoot      | 10.1832418442   <-> 8.37509441376   || 1
middenmoot      | </s>            | 0.681290328503  <-> 0.602780818939  || 1
<s>             | dat             | 3.89798116684   <-> 3.79571175575   || 1
dat             | stelde          | 7.96910429001   <-> 7.56757116318   || 1
stelde          | een             | 2.77285003662   <-> 2.87099528313   || 0
een             | extra           | 7.08047294617   <-> 6.70840263367   || 1
extra           | probleem        | 6.87107133865   <-> 6.73890399933   || 1
probleem        | voor            | 2.60854935646   <-> 2.67630839348   || 0
voor            | zijn            | 3.83436179161   <-> 4.36310911179   || 0
zijn            | landgenoot      | 7.96433544159   <-> 7.52614164352   || 1
landgenoot      | <UNK>           | 1.99541091919   <-> 2.75809836388   || 0
<UNK>           | <UNK>           | 1.91029763222   <-> 2.37966752052   || 0
<UNK>           | die             | 3.30207562447   <-> 4.06624507904   || 0
die             | twee            | 5.92310237885   <-> 5.55134868622   || 1
twee            | jaar            | 2.48247337341   <-> 2.06992936134   || 1
jaar            | geleden         | 0.715930461884  <-> 0.647412478924  || 1
geleden         | captain         | 14.7736110687   <-> 15.2562303543   || 0
captain         | was             | 3.78480315208   <-> 4.03059482574   || 0
was             | van             | 3.73430633545   <-> 3.47127246857   || 1
van             | de              | 1.18614912033   <-> 1.36226594448   || 0
de              | Europese        | 5.55273532867   <-> 4.91794157028   || 1
Europese        | ploeg           | 6.68596363068   <-> 5.3259396553    || 1
ploeg           | voor            | 4.17409420013   <-> 4.18919086456   || 0
voor            | de              | 0.971541702747  <-> 1.21359908581   || 0
de              | Ryder           | 12.7288560867   <-> 12.9488220215   || 0
Ryder           | Cup             | 5.77059936523   <-> 2.14158415794   || 1
Cup             | de              | 4.52915477753   <-> 4.44683504105   || 1
de              | tweejaarlijkse  | 9.97623920441   <-> 9.66284561157   || 1
tweejaarlijkse  | ontmoeting      | 8.96566772461   <-> 9.51382541656   || 0
ontmoeting      | tussen          | 2.5935382843    <-> 2.97220993042   || 0
tussen          | Amerika         | 7.67044401169   <-> 8.43741130829   || 0
Amerika         | en              | 1.00869905949   <-> 1.00449073315   || 1
en              | Europa          | 6.57818841934   <-> 6.08378219604   || 1
Europa          | </s>            | 0.600054383278  <-> 0.502475738525  || 1
<s>             | met             | 4.65609836578   <-> 4.9116191864    || 0
met             | voorsprong      | 10.5163516998   <-> 11.1352024078   || 0
voorsprong      | het             | 6.52677726746   <-> 6.6517033577    || 0
het             | belangrijkste   | 6.74014902115   <-> 6.55984354019   || 1
belangrijkste   | toernooi        | 9.46043395996   <-> 8.18685722351   || 1
toernooi        | in              | 2.67163276672   <-> 2.8547065258    || 0
in              | het             | 2.37168312073   <-> 2.16254591942   || 1
het             | internationale  | 7.60614585876   <-> 7.50429677963   || 1
internationale  | golf            | 11.134935379    <-> 11.1570653915   || 0
golf            | </s>            | 3.54217934608   <-> 2.4694519043    || 1
<s>             | er              | 4.70186281204   <-> 4.45212745667   || 1
er              | wordt           | 3.18857836723   <-> 2.70261836052   || 1
wordt           | wisselend       | 12.1429347992   <-> 9.97001075745   || 1
wisselend       | gespeeld        | 6.40888690948   <-> 7.3178563118    || 0
gespeeld        | in              | 2.48607587814   <-> 2.3861284256    || 1
in              | Europa          | 5.83965730667   <-> 5.46165466309   || 1
Europa          | en              | 2.51659727097   <-> 2.18072462082   || 1
en              | Amerika         | 7.51908159256   <-> 8.64511108398   || 0
Amerika         | </s>            | 1.32664442062   <-> 1.20475876331   || 1
<s>             | in              | 3.05780506134   <-> 3.52829003334   || 0
in              | Europa          | 5.36949825287   <-> 5.22647237778   || 1
Europa          | is              | 2.30986976624   <-> 2.23812270164   || 1
